id,name,slug,purdue_level,category,png_relative_path,svg_relative_path,dimensions,keywords_str
1,Connector,connector,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/connector.png,new_material_source/asset_icons/components_svg/connector.svg,520x520,"bus connector, interface plug, termination point, connector"
2,CT Scanner,ct_scanner,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/ct_scanner.png,new_material_source/asset_icons/components_svg/ct_scanner.svg,520x520,"computed tomography, cat scan, medical imaging, dicom, scanner"
3,Database Server,database_server,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/database_server.png,new_material_source/asset_icons/components_svg/database_server.svg,520x520,"sql server, oracle, postgresql, historian db, enterprise database, database, server"
4,DCS,dcs,Level 2 (Supervisory Control & Local HMI),Supervisory & Operations,new_material_source/asset_icons/components_png/dcs.png,new_material_source/asset_icons/components_svg/dcs.svg,520x520,"distributed control system, yokogawa centum, honeywell experion, emerson deltav, abb 800xa, process automation, purdue level 1-2, dcs"
5,Dispatch Console,dispatch_console,Level 3 (Site Operations & Control Center),Site Operations & Data Servers,new_material_source/asset_icons/components_png/dispatch_console.png,new_material_source/asset_icons/components_svg/dispatch_console.svg,520x520,"cad, computer aided dispatch, 911 console, operator dispatch, dispatch, console"
6,DNS Server,dns_server,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/dns_server.png,new_material_source/asset_icons/components_svg/dns_server.svg,520x520,"dns, server"
7,Door Access Door Control Unit,door_access_door_control_unit,Security & Boundary Enforcement,Cybersecurity & Physical Security,new_material_source/asset_icons/components_png/door_access_door_control_unit.png,new_material_source/asset_icons/components_svg/door_access_door_control_unit.svg,520x520,"dcu, card reader, badge reader, access control, physical security perimeter, turnstile, door, access, control, unit"
8,ECG,ecg,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/ecg.png,new_material_source/asset_icons/components_svg/ecg.svg,520x520,ecg
9,EEG,eeg,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/eeg.png,new_material_source/asset_icons/components_svg/eeg.svg,520x520,eeg
10,Electronic Security System,electronic_security_system,Security & Boundary Enforcement,Cybersecurity & Physical Security,new_material_source/asset_icons/components_png/electronic_security_system.png,new_material_source/asset_icons/components_svg/electronic_security_system.svg,520x520,"ess, integrated security, alarm management, perimeter intrusion detection, electronic, security, system"
